company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
GetInData | Part of Xebia,big-data,"GetInData is a data analytics agency located in Warsaw, Poland. Since 2014, their team of 14 has been specializing in custom software development, big data consulting, IoT development, and more for clients in the IT industry.  ",5.0,(10 Reviews),"Spotify, Truecaller, Acast, ING, Kcell, Veolia, Allegro, Veverica, Networks, Freshmail, Play (the largest Polish telco), Synerise and more; Undisclosed customers from telco, pharmacy, FMCG and media sectors.",GetInData designed and built a custom feature that allows the attachment of artifacts in a data stream processing app.,"['eCommerce', 'Financial services', 'Information technology', 'Retail', 'Telecommunications']","Warszawa, Poland",50 - 249 employees,"$5,000+"
TantusData,big-data,"TantusData sp.z.o.o. Is a software development firm established in 2017. They are headquartered in Warszawa, Poland and have a small team. Their services include custom software development.",4.9,(5 Reviews),,"TantusData provided data engineering support for a telecommunication company. They secured SLAs of critical pipelines, tuned the system's performance, and put machine learning models to production.","['eCommerce', 'Real estate', 'Retail', 'Telecommunications']","Warszawa, Poland",10 - 49 employees,"$50,000+"
Innowise Group,big-data,"Innowise Group is a custom software development company based in Warsaw, Poland. With more than 1000 specialists on board and 600 projects completed, they use cutting-edge technologies to transform their client's businesses. They are experts in designing and developing tech solutions that will help your company enhance its processes and increase customer satisfaction, thanks to their 15+ years of experience and extensive expertise. They create custom software to fit your unique requirements in terms of timeline, budget, and use case. They handle every step of the development process, from product concept and development to testing, deployment, and support. In addition to building custom software, we also excel in UX/UI design, IT strategy consulting, and staff augmentation.",4.8,(40 Reviews),Terraces.io; Voka; Belyagdar; Instatsport,A digital healthcare company hired Innowise Group to provide mobile app development. They created a platform for respiratory conditions that analyzes inhalation flow and allows users to record symptom data.,"['Education', 'Financial services', 'Medical']","St. Petersburg, FL","1,000 - 9,999 employees","$5,000+"
Perficient Latin America,big-data,"Perficient Latin America (formerly PSL) is a software engineering company that was founded in 1986. With locations in New York; Medellín, Colombia; and Mexico City, Perficient Latin America has more than 650 employees. They specialize in custom software development, big data consulting, cloud consulting, system integration, and web development. Perficient Latin America supports mid-sized and enterprise clients across a range of industries.",4.7,(45 Reviews),Fortune 500/Large: IPG; Deloitte; Flex; MuleSoft,"Perficient Latin America (formerly Inflection Point) provides staff augmentation for market and product analysis as well as software development for a global investment management company. They work with Java, SQL Servers, and Salesforce.","['Advertising & marketing', 'Financial services', 'GPS, Navigation & GIS', 'Information technology', 'Supply Chain, Logistics, and Transport']","Medellín, Colombia",250 - 999 employees,"$75,000+"
Software Mind,big-data,"Software Mind is a global IT services company headquartered in Krakow, Poland, with offices in Warsaw, Rzeszow, and Bielsko-Biala in Poland as well. Founded in 1999, their team of 116 works with clients from startups to enterprises to offer assistance in custom software development, enterprise app modernization, and BI & big data consulting & SI. They mainly work in the medical and financial services industries.",4.9,(22 Reviews),Corelogic; Dell; Backbase; Branch,Software Mind has recruited technical resources for a software service provider. They've helped the firm develop two of their software systems. ,"['eCommerce', 'Financial services', 'Gambling', 'Information technology', 'Telecommunications']","Kraków, Poland","1,000 - 9,999 employees","$50,000+"
ELEKS,big-data,"Founded in 1991, ELEKS is a provider of software development, product design and technology advisory services. They offer cooperation models that fit the goals, resources and timelines of Fortune 500 companies, large enterprises, and small businesses. ELEKS has more than 2,000 specialists and 17 offices on three continents to serve their clients globally. ",4.8,(27 Reviews),Eagle Investment Systems (a subsidiary of BNY Mellon); Autodesk; ESET; TAIT,ELEKS developed a mobile application from scratch for a fintech company. They worked on the design and built the iOS and Android versions using React Native and an API written in Laravel.,"['Automotive', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Tallinn, Estonia","1,000 - 9,999 employees","$50,000+"
DICEUS,big-data,"Diceus is a software engineering company headquartered in Kyiv, Ukraine, with offices also in Dubai, New York, and Vilnius, Lithuania. Founded in 2011, they have about 119 employees that do web and custom software development. Clients are mostly small and midmarket businesses in the real estate, healtchare, financial services, and advertising and marketing sectors. ",4.9,(46 Reviews),UNIQA; Willis Towers Watson; Fadata; Bank al Etihad,DICEUS has deployed a Java developer to help an EdTech firm sort complex tasks for their school management system. They've shortlisted qualified candidates who the client has given a test task.,"['Automotive', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Retail']","Wrocław, Poland",50 - 249 employees,"$10,000+"
Netguru,big-data,"Netguru is a consultancy, product design, and software development company founded in 2008. The company works with large brands and fast-growing startups in the financial, education, or even robotics industries. Netguru has completed more than 700 projects and has 700+ people on board working from all over the world. ",4.8,(50 Reviews),UBS; OLX; Careem; Keller Williams,Netguru assisted the client with backend functionalities and front-end implementation using Ruby on Rails. The goal was to create an online platform to educate users on the best insurance options.,"['Financial services', 'Medical', 'Real estate', 'Retail']","Poznań, Poland",250 - 999 employees,"$25,000+"
HatchWorks,big-data,"HatchWorks is an Atlanta-based software development and UX/UI design company with extensive nearshore delivery centers in Latin America. Founded in 2016, HatchWorks core purpose is to design and build software solutions your customers and business will love. HatchWorks provides custom software development, experience design, analytics, AI/ML, big data, and cloud services through their integrated US and Nearshore Agile teams.",4.9,(17 Reviews),AT&T; Diebold Nixdorf; TrueBlue (PeopleScout & PeopleReady); Advent Health,"HatchWorks designed and developed an online and mobile software platform for a financial services company. The delivered solution has received overwhelmingly positive feedback from both clients and representatives, specifically praising the software’s intuitiveness, design, and interactive capabilities. HatchWorks’ personal investment and project management has helped guarantee future engagement.","['Financial services', 'Medical', 'Telecommunications']","Atlanta, GA",50 - 249 employees,"$75,000+"
Complere Infosystem Pvt Ltd,big-data,"Complere Infosystem Pvt Ltd is a. Launched in 2017, the agency is based in Ambala, India. The small team offers.",4.7,(5 Reviews),Empirx Health; Data Kitchen; Dodge Data & Analytics; Texellent Solutions,Complere Infosystem Pvt Ltd has provided data engineering services to a startup. They’ve used Java and open-source technologies to build custom software that transforms data into different formats on demand.,"['Advertising & marketing', 'Business services', 'eCommerce', 'Medical', 'Information technology', 'Manufacturing']","Ambala, India",50 - 249 employees,"$1,000+"
