company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Jordan Business Systems,big-data,,,,,,,"Amman, Jordan",50 - 249 employees,"$10,000+"
Aquiva Labs,big-data,,,,,,,"Orlando, FL",50 - 249 employees,Undisclosed
Equal Experts,big-data,,,,,,"['Business services', 'Financial services', 'Government']","London , United Kingdom",250 - 999 employees,"$25,000+"
Plain Concepts,big-data,,,,,,"['Consumer products & services', 'Financial services', 'Gambling', 'Medical', 'Information technology', 'Legal', 'Manufacturing', 'Media', 'Energy & natural resources', 'Real estate']","Redmond, WA",250 - 999 employees,"$25,000+"
Amaze,big-data,"Headquartered in London, United Kingdom; Manchester, United Kingdom; Liverpool, United Kingdom and Chicago, Illinois, Amaze is a midsize user experience design company. They specialize in ux/ui design, branding, content marketing, digital strategy, and more and were launched in 1995.",,,,,"['Automotive', 'Consumer products & services', 'Hospitality & leisure', 'Retail', 'Supply Chain, Logistics, and Transport']","London, United Kingdom",250 - 999 employees,"$10,000+"
Sygnity,big-data,"Based in Warszawa, Poland, Sygnity is a midsize big data company. Their services include BI & big data consulting & SI, IT managed services, other IT consulting and SI, custom software development, and more.",,,,,,"Warszawa, Poland",250 - 999 employees,Undisclosed
Xertica,big-data,"IT strategy consulting company Xertica was established in 2016. The agency specializes in IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, CRM consulting and SI, and more and has a midsize team.",,,,,,"Monterrey, Mexico",250 - 999 employees,Undisclosed
Launch Consulting,big-data,,,,,,"['Consumer products & services', 'Government', 'Medical', 'Information technology', 'Energy & natural resources']","Bellevue, WA",250 - 999 employees,Undisclosed
Ironside,big-data,"Ironside is a business intelligence company founded in 1999. The agency provides BI & big data consulting & SI, cloud consulting & SI, IT managed services, ux/ui design, and more and has a midsize team. The agency is in Lexington, Massachusetts.",,,,,,"Lexington, MA",50 - 249 employees,"$10,000+"
Talan,big-data,,,,,,,"Paris, France","1,000 - 9,999 employees","$10,000+"
TCG,big-data,"Based in Washington, District of Columbia, TCG is a cybersecurity company. The firm focuses on cybersecurity, IT managed services, and BI & big data consulting & SI and is midsize.The firm was established in 1994.",,,,,,"Washington, DC",50 - 249 employees,Undisclosed
Tech Anand Rathi,big-data,,,,,,"['Advertising & marketing', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Information technology', 'Legal', 'Manufacturing', 'Retail']","Jodhpur, India",250 - 999 employees,"$10,000+"
Smartproxy,big-data,,,,,,,"London, United Kingdom",50 - 249 employees,Undisclosed
eAlchemy,big-data,,,,,,,"Petaluma, CA",10 - 49 employees,Undisclosed
Praesto Consulting,big-data,,,,,,"['Business services', 'Financial services', 'Information technology', 'Telecommunications']","London, United Kingdom",10 - 49 employees,"$5,000+"
"COMERIT, INC.",big-data,,,,,,,"El Dorado Hills, CA",10 - 49 employees,Undisclosed
DeepBrain,big-data,,,,,,,"Shanghai, China",10 - 49 employees,"$5,000+"
Integration Alpha GmbH,big-data,,,,,,,"Cham, Switzerland",10 - 49 employees,Undisclosed
Conduit Innovation,big-data,,,,,,,"Boston, MA",10 - 49 employees,Undisclosed
One Six Solutions,big-data,"Founded in 2013, One Six Solutions is a business intelligence company. The small Chicago, Illinois-based team specializes in BI & big data consulting & SI, enterprise app modernization, cloud consulting & SI, and IT strategy consulting.",,,,,"['Arts, entertainment & music', 'Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Medical', 'Manufacturing', 'Non-profit', 'Retail']","Chicago, IL",10 - 49 employees,"$25,000+"
Analytical Wizards,big-data,,,,,,,"Edison, NJ",10 - 49 employees,Undisclosed
Reputación Digital,big-data,,,,,,,"Cordoba, Argentina",10 - 49 employees,Undisclosed
AeroVision,big-data,,,,,,"['Business services', 'Financial services', 'Medical', 'Information technology', 'Legal', 'Energy & natural resources']","Tulsa, OK",10 - 49 employees,"$5,000+"
DRVR,big-data,,,,,,"['Automotive', 'GPS, Navigation & GIS', 'Supply Chain, Logistics, and Transport', 'Utilities']","Khwaeng Bang Chak, Thailand",10 - 49 employees,"$5,000+"
Inspirage,big-data,,,,,,,"Bellevue, WA",250 - 999 employees,"$10,000+"
CIGNEX,big-data,"CIGNEX Datamatics is an open-source solutions company specializing primarily in custom software development along with ECM consulting and SI, and big data consulting. Based in Ahmedabad, India, the company was founded in 2000.  They currently have fewer than 600 employees.",,,Daiichi; IHG; UBM; Allianz,CIGNEX Datamatics provided an alternative to a proprietary web system for a technology company. The resulting web infrastructure and content management solution offered a variety of features at an affordable cost.,,"Ahmedabad, India",250 - 999 employees,Undisclosed
Cuelogic Technologies,big-data,,,,,,,"New York, NY",250 - 999 employees,"$25,000+"
PCMS Datafit,big-data,,,,,,"['Consumer products & services', 'Retail']","Coventry, United Kingdom",250 - 999 employees,"$5,000+"
8KMiles,big-data,,,,,,['Medical'],"Pleasanton, CA",250 - 999 employees,"$5,000+"
Extentia Information Technology,big-data,,,,,,,"Pune, India",250 - 999 employees,Undisclosed
DIGITALWARE,big-data,"DIGITALWARE is a Bogotá, Colombia-based IT strategy consulting company. The agency provides IT strategy consulting, BI & big data consulting & SI, ERP consulting and SI, IT managed services, and more and is midsize.The agency was founded in 1992.",,,,,,"Bogotá, Colombia",250 - 999 employees,Undisclosed
Overdose.,big-data,"Overdose., an user experience agency, was launched in 2016. The agency offers ux/ui design, BI & big data consulting & SI, web development, e-commerce development, and more and has a midsize team.",,,,,,"South Yarra, Australia",250 - 999 employees,Undisclosed
eMudhra,big-data,,,,,,,"Bengaluru, India",250 - 999 employees,Undisclosed
Always Dare To Dream,big-data,,,,,,,"Sylhet, Bangladesh",2 - 9 employees,"$1,000+"
NCTech,big-data,,,,,,,"Edinburgh, United Kingdom",50 - 249 employees,Undisclosed
TPN Retail AR,big-data,"Advertising company TPN Retail AR is in Rogers, Arkansas. They offer advertising, media planning & buying, and other digital marketing and were launched in 1984.",,,,,,"Rogers, AR",50 - 249 employees,Undisclosed
Essextec,big-data,,,,,,,"Rochelle Park, NJ",50 - 249 employees,Undisclosed
Iterio Data,big-data,,,,,,,Poland,2 - 9 employees,"$25,000+"
Ingelsi Cia Ltda,big-data,,,,,,,,2 - 9 employees,Undisclosed
Orès Data Science,big-data,,,,,,,"Montréal, Canada",2 - 9 employees,Undisclosed
Diatom,big-data,,,,,,,"Boston, MA",2 - 9 employees,Undisclosed
Constant Leads,big-data,,,,,,,"Dubai, United Arab Emirates",2 - 9 employees,"$1,000+"
Salt City Tech,big-data,,,,,,,UT,2 - 9 employees,Undisclosed
Corvus Computers,big-data,,,,,,,"South Lake City, UT",2 - 9 employees,Undisclosed
Iconic Sales,big-data,,,,,,,"Provo, UT",2 - 9 employees,Undisclosed
Paramount Financial Technologies,big-data,,,,,,,"Quincy, MA",2 - 9 employees,Undisclosed
Kemo Data Consulting,big-data,,,,,,,"Houston, TX",2 - 9 employees,Undisclosed
DataBytes,big-data,,,,,,,"Atlanta, GA",2 - 9 employees,Undisclosed
SteelWyre,big-data,,,,,,"['Advertising & marketing', 'Business services', 'Consumer products & services', 'Financial services', 'Hospitality & leisure', 'Legal Cannabis', 'Real estate']","Tallinn, Estonia",2 - 9 employees,Undisclosed
"Falcona Management & Technology, L L C",big-data,,,,,,,"Huntsville, AL",2 - 9 employees,Undisclosed
"WorldVision Technologies, Inc",big-data,,,,,,,"Aldie, VA",2 - 9 employees,Undisclosed
Proksi Systems,big-data,,,,,,,"Bensalem, PA",2 - 9 employees,Undisclosed
Krypto It Inc,big-data,,,,,,['Information technology'],"Revere, MA",2 - 9 employees,"$10,000+"
Luniko Consulting,big-data,"Luniko Consulting is a big data company. They are in Calgary, Canada and have a small team. Their team focuses on BI & big data consulting & SI, ERP consulting and SI, and business consulting.",,,,,,"Calgary, Canada",2 - 9 employees,Undisclosed
Consultoria Informatica,big-data,"Consultoria Informatica is a Madrid, Spain-based big data analytics company. The agency provides BI & big data consulting & SI, IT strategy consulting, cloud consulting & SI, CRM consulting and SI, and more and is small.The agency was founded in 2019.",,,,,"['eCommerce', 'Education', 'Financial services', 'Government', 'Medical', 'Hospitality & leisure', 'Information technology', 'Manufacturing', 'Energy & natural resources']","Madrid, Spain",2 - 9 employees,"$5,000+"
Select Distinct,big-data,,,,,,"['eCommerce', 'Manufacturing', 'Retail']","Shireoaks, United Kingdom",2 - 9 employees,"$10,000+"
"Shenzhen Youcai Technology Co., Ltd.",big-data,"Data analytics company and artificial intelligence development company Shenzhen Youcai Technology Co., Ltd. Is based in Shenzhen, China. They specialize in BI & big data consulting & SI and Artificial Intelligence and were established in 2019.",,,"Dongguan Huayu Testing Technology Co., Ltd; Lu'an Jianghuai Electrical Machinery Co., Ltd.; Zhejiang Bingchong Environmental Protection Technology Co.,; Guangdong Zhengxiang Lighting Technology Co., Ltd.",,"['Business services', 'Energy & natural resources']","Shenzhen, China",2 - 9 employees,Undisclosed
Business Intelligence (BI) Solutions,big-data,"Business Intelligence (BI) Solutions is a small Boston, Massachusetts-based big data company and IT staff augmentation company. They offer BI & big data consulting & SI and IT staff augmentation and were launched in 2007.",,,,,,"Boston, MA",2 - 9 employees,Undisclosed
"CETC Digital Technology Co., Ltd.",big-data,,,,,,"['Business services', 'Financial services', 'Manufacturing', 'Retail', 'Supply Chain, Logistics, and Transport']","Shanghai, China",2 - 9 employees,Undisclosed
Darwinist OU,big-data,,,,,,,"Tallinn, Estonia",2 - 9 employees,"$5,000+"
Danta Analytics,big-data,,,,,,,"San José, Costa Rica",2 - 9 employees,"$10,000+"
Rocbird,big-data,,,,,,"['Financial services', 'Information technology', 'Legal']","Córdoba, Argentina",10 - 49 employees,"$5,000+"
Lochbridge,big-data,"Lochbridge is a midsize IoT development company in Detroit, Michigan; Milwaukee, Wisconsin; Montreal, Canada and McLean, Virginia. Their services include IoT development, custom software development, BI & big data consulting & SI, cloud consulting & SI, and more.",,,,,,"Detroit, MI",250 - 999 employees,"$25,000+"
RBA Consulting,big-data,,,,,,"['Consumer products & services', 'Hospitality & leisure', 'Supply Chain, Logistics, and Transport']","Wayzata, MN",250 - 999 employees,"$5,000+"
SQUADEX,big-data,,,,,,,"Palo Alto, CA",250 - 999 employees,Undisclosed
Inspired Thinking Group,big-data,,,,,,"['Advertising & marketing', 'Consumer products & services', 'Retail']","Birmingham, United Kingdom",250 - 999 employees,"$10,000+"
Column Technologies,big-data,,,,,,"['Business services', 'Consumer products & services', 'Financial services', 'Energy & natural resources']","Lombard, IL",250 - 999 employees,"$5,000+"
DynTek,big-data,"DynTek, a midsize IT strategy consulting company, is located in Newport Beach, California; New York City, and Albany, . The team specializes in IT strategy consulting, custom software development, BI & big data consulting & SI, cloud consulting & SI, and more.",,,,,"['Education', 'Financial services', 'Government']","Newport Beach, CA",250 - 999 employees,"$5,000+"
"Inspur Group Co., Ltd.",big-data,"Custom software development firm Inspur Group Co., Ltd. Is based in Jinan Shi, China and Fremont, California. Established in 1989, the large team offers custom software development, BI & big data consulting & SI, cloud consulting & SI, ERP consulting and SI, and more.",,,,,,"Ji Nan Shi, China",250 - 999 employees,Undisclosed
PRAXI S.p.A.,big-data,"Launched in 1966, PRAXI S.p.A. Is a business consulting company. They are headquartered in Genova, Italy and have a midsize team. The company provides business consulting, HR services, BI & big data consulting & SI, and IT strategy consulting.",,,,,,"Genova, Italy",250 - 999 employees,Undisclosed
Vyom Labs Pvt Ltd,big-data,,,,,,"['Automotive', 'Business services', 'Consumer products & services', 'Information technology']","Pune, India",250 - 999 employees,Undisclosed
Fluido Oy,big-data,"Fluido Oy is an IT strategy consulting company. Launched in 2010, the team focuses on IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, CRM consulting and SI, and more. Their midsize firm is Espoo, Finland-based.",,,,,"['Automotive', 'Education', 'Manufacturing', 'Energy & natural resources']","Espoo, Finland",250 - 999 employees,"$10,000+"
Wunderman Thompson,big-data,"Wunderman Thompson is a midsize cloud consulting & SI company. Founded in 2000, the firm is in Haarlem, Netherlands. Their services include cloud consulting & SI, CRM consulting and SI, social media marketing, and BI & big data consulting & SI.",,,,,,"Haarlem, Netherlands",250 - 999 employees,Undisclosed
Ksolves India Limited,big-data,,,,LTI; Persistent; OnPoint; Knight Broadband,,"['Advertising & marketing', 'Education', 'Medical', 'Manufacturing', 'Telecommunications']","Noida, India",250 - 999 employees,"$1,000+"
Peak Indicators,big-data,,,,,,"['Consumer products & services', 'Financial services', 'Media', 'Retail', 'Telecommunications']","Chesterfield, United Kingdom",50 - 249 employees,"$5,000+"
The Berkeley Partnership,big-data,,,,,,"['Automotive', 'Consumer products & services', 'Hospitality & leisure', 'Media', 'Telecommunications']","London, United Kingdom",50 - 249 employees,"$1,000+"
iVision,big-data,,,,,,,"Atlanta, GA",50 - 249 employees,"$5,000+"
UFINET,big-data,"UFINET is an application management & support company. In Madrid, Spain and San Rafael de Escazú, Costa Rica, their midsize team provides application management & support, BI & big data consulting & SI, advertising, and cybersecurity. The firm was launched in 1998.",,,,,,"Madrid, Spain",50 - 249 employees,Undisclosed
Intone Networks,big-data,,,,,,,"Woodbridge Township, NJ",50 - 249 employees,Undisclosed
Comrise,big-data,"Comrise is an IT managed services company in Woodbridge Township, New Jersey. The midsize team specializes in IT managed services, BI & big data consulting & SI, and IT staff augmentation and was launched in 1984.",,,,,,"Woodbridge Township, NJ",50 - 249 employees,Undisclosed
Xomnia,big-data,"Xomnia, an IT managed services company, is based in Amsterdam, Netherlands. The midsize agency was launched in 2013. Their services include IT managed services, BI & big data consulting & SI, Artificial Intelligence, and IT strategy consulting.",,,,,,"Amsterdam, Netherlands",50 - 249 employees,Undisclosed
Tectonic,big-data,,,,,,,"Greenwood Village, CO",50 - 249 employees,Undisclosed
pi4_robotics GmbH,big-data,"Pi4_robotics GmbH is an AI firm founded in 1994. Based in Berlin, Germany, their midsize team focuses on Artificial Intelligence, BI & big data consulting & SI, and custom software development.",,,,,,"Berlin, Germany",50 - 249 employees,Undisclosed
Neurotech Africa Company Limited,big-data,,,,,,,"Dar es Salaam, Tanzania",2 - 9 employees,"$1,000+"
iThink Panama,big-data,"IThink Panama is a big data company. Established in 2007, the company is headquartered in Panama, Panama. The small team focuses on BI & big data consulting & SI, IT managed services, IT strategy consulting, and IT staff augmentation.",,,,,,"Panamá, Panama",10 - 49 employees,Undisclosed
Bagley Consulting Group,big-data,,,,,,,"Vestavia Hills, AL",10 - 49 employees,Undisclosed
CXO Corporation,big-data,,,,,,"['Financial services', 'Manufacturing', 'Retail']","Burlington, Canada",10 - 49 employees,"$100,000+"
Kavayah Solutions Inc,big-data,,,,,,,"Princeton, NJ",10 - 49 employees,Undisclosed
Omniit,big-data,,,,,,,"München, Germany",10 - 49 employees,Undisclosed
Vocus,big-data,,,,,,,"Córdoba, Argentina",10 - 49 employees,Undisclosed
Núcleo IT,big-data,,,,,,,"AAJ, Argentina",10 - 49 employees,Undisclosed
SnA Consulting,big-data,"SnA Consulting, a big data company, is headquartered in Istanbul, Turkey. The small company was launched in 2007. Their team focuses on BI & big data consulting & SI, business consulting, Artificial Intelligence, and digital strategy.",,,,,"['Automotive', 'eCommerce', 'Financial services', 'Retail', 'Telecommunications', 'Utilities']","Istanbul, Turkey",10 - 49 employees,Undisclosed
"Rudram Engineering, Inc.",big-data,,,,,,,"Rockledge, FL",10 - 49 employees,Undisclosed
"NISSINT TECHNOLOGIES, LLC",big-data,,,,,,,"Davidsonville, MD",10 - 49 employees,Undisclosed
DRIVE,big-data,,,,,,"['Automotive', 'Consumer products & services', 'eCommerce', 'Retail']","Hong Kong, Hong Kong",10 - 49 employees,"$5,000+"
ITiers Business Technologies,big-data,"ITiers Business Technologies is a small big data company. In IIA, Argentina, the company was launched in 2003. Their team focuses on BI & big data consulting & SI, cloud consulting & SI, and other IT consulting and SI.",,,,,,"IIA, Argentina",10 - 49 employees,Undisclosed
Big Data Trunk,big-data,,,,,,"['Business services', 'Information technology']","Fremont, CA",10 - 49 employees,"$1,000+"
DataDevice,big-data,"Based in Rosehill, Australia, DataDevice is a big data company. They focus on BI & big data consulting & SI, ECM consulting and SI, and document digitization & management and were established in 2012.",,,,,,"Rosehill, Australia",10 - 49 employees,Undisclosed
Emana,big-data,,,,,,,"Ilha Solteira, Brazil",2 - 9 employees,"$10,000+"
Magna Data,big-data,,,,,,,"Doral, FL",2 - 9 employees,"$5,000+"
Termscript Data Solutions N. B.V.,big-data,"Launched in 2022, Termscript Data Solutions N. B.V. Is a business intelligence company. The company specializes in BI & big data consulting & SI, IT strategy consulting, IT staff augmentation, IT managed services, and more and has a small team.",,,,,,"Amsterdam, Netherlands",2 - 9 employees,Undisclosed
Dinnpro,big-data,,,,Avanti; FAR Seguros; Aeromundo Uruguay; Abito Uruguay,,"['Financial services', 'Retail', 'Supply Chain, Logistics, and Transport']","Montevideo, Uruguay",2 - 9 employees,"$1,000+"
U-Hopper Srl,big-data,"U-Hopper Srl is an AI firm. They are headquartered in Trento, Italy and have a small team. Their services include Artificial Intelligence, IoT development, custom software development, BI & big data consulting & SI, and more.",,,,,"['Advertising & marketing', 'Government', 'GPS, Navigation & GIS', 'Information technology', 'Manufacturing', 'Energy & natural resources', 'Supply Chain, Logistics, and Transport', 'Utilities']","Trento, Italy",10 - 49 employees,"$10,000+"
Kudaw,big-data,"Kudaw, a software development company, is headquartered in Providencia, Chile. The midsize firm was established in 2010. Their services include custom software development, BI & big data consulting & SI, cloud consulting & SI, IoT development, and more.",,,,,,"Providencia, Chile",50 - 249 employees,"$25,000+"
XERIDIA,big-data,"XERIDIA is a business intelligence company. Established in 2003, the team specializes in BI & big data consulting & SI, Artificial Intelligence, and cloud consulting & SI. Their midsize agency is located in León, Spain; Madrid, Spain and City of London, United Kingdom.",,,,,,"León, Spain",50 - 249 employees,Undisclosed
Rigorous Statistics,big-data,"Rigorous Statistics is an other IT consulting and SI company. Their small team is in Akasia, South Africa and Thohoyandou, South Africa and provides other IT consulting and SI and BI & big data consulting & SI. The agency was established in 2017.",,,,,"['Advertising & marketing', 'Consumer products & services', 'Education', 'Government', 'Medical', 'Non-profit', 'Retail']","Akasia, South Africa",2 - 9 employees,"$1,000+"
BTT Cloud,big-data,,,,,,"['Business services', 'eCommerce', 'Financial services', 'Gaming', 'Government', 'Legal', 'Telecommunications']","Vilnius, Lithuania",50 - 249 employees,"$1,000+"
BIAS Corporation,big-data,,,,,,,"Roswell, GA",250 - 999 employees,"$5,000+"
OPTIMIZA,big-data,,,,,,,"Amman, Jordan",250 - 999 employees,"$10,000+"
Alpha Data,big-data,,,,,,,"Abu Dhabi, United Arab Emirates",250 - 999 employees,Undisclosed
Marketdata,big-data,,,,,,,"São Paulo, Brazil",250 - 999 employees,Undisclosed
14 West,big-data,,,,,,,"Baltimore, MD",250 - 999 employees,Undisclosed
HTEC Group,big-data,,,,,,,"San Francisco, CA",250 - 999 employees,Undisclosed
Grupo Avalon,big-data,"Launched in 2004, Grupo Avalon is an IT strategy consulting company. They are in Madrid, Spain and have a midsize team. The company offers IT strategy consulting, BI & big data consulting & SI, CRM consulting and SI, ERP consulting and SI, and more.",,,,,,"Madrid, Spain",250 - 999 employees,Undisclosed
Mastech InfoTrellis,big-data,,,,,,"['Business services', 'Information technology']","Atlanta, GA",250 - 999 employees,Undisclosed
Silvr Lining Group - A Spaulding Ridge Company,big-data,,,,,,,"Chicago, IL",250 - 999 employees,Undisclosed
Byte IT - IT Management Solutions,big-data,,,,,,"['Business services', 'Medical', 'Information technology', 'Legal', 'Retail']","Cleveland, OH",10 - 49 employees,"$1,000+"
"Brigadoon Technology, LLC",big-data,,,,,,"['Business services', 'eCommerce', 'Government', 'Medical', 'Information technology']","Ocean Springs, MS",10 - 49 employees,"$5,000+"
Sparity Inc,big-data,"Sparity Soft Technologies is a consulting company that has domestic offices in Atlanta, Denver, and Alpharetta, Ga. as well as an international campus in India. Founded in 2000, Sparity Soft Technologies features a team of about 125 employees. Specializations focus on custom software, web, and mobile app design, development and testing. The team also builds e-commerce sites and provides strategic IT consulting services. Partners include major corporations across the U.S.",,,Boxercraft; Benin Disco; Genpact; Pennant Sports,,"['Consumer products & services', 'eCommerce', 'Medical', 'Information technology', 'Retail', 'Utilities']","Alpharetta, GA",50 - 249 employees,"$5,000+"
Primitive Logic,big-data,,,,,,,"San Francisco, CA",50 - 249 employees,"$10,000+"
STA Group,big-data,"STA Group is a data analytics company based in Chicago, Illinois and Bloomington, Illinois. The midsize firm was established in 2002. Their services include BI & big data consulting & SI, cloud consulting & SI, IoT development, custom software development, and more.",,,,,,"Chicago, IL",50 - 249 employees,"$10,000+"
Qiniu Cloud,big-data,,,,,,,"Shanghai, China",50 - 249 employees,"$1,000+"
IBCS-Primax Software Bangladesh Ltd.,big-data,,,,,,,"Dhaka, Bangladesh",50 - 249 employees,Undisclosed
Newcomp Analytics,big-data,,,,,,"['Consumer products & services', 'Education', 'Financial services', 'Medical', 'Manufacturing', 'Energy & natural resources', 'Non-profit', 'Retail', 'Telecommunications', 'Utilities']","Toronto, Canada",50 - 249 employees,"$10,000+"
Advectas,big-data,"Established in 2006, Advectas is a midsize big data analytics company located in Malmö, Sweden. Their services include BI & big data consulting & SI, business consulting, custom software development, and IT strategy consulting.",,,,,,"Malmö, Sweden",50 - 249 employees,Undisclosed
Servinformación,big-data,,,,,,,"Bogota, TN",50 - 249 employees,Undisclosed
Envion Software,big-data,"Envion Software is a Kharkiv, Ukraine-based big data analytics company. The midsize team focuses on BI & big data consulting & SI, custom software development, web development, and mobile app development. The firm was established in 1984.",,,,,,"Kharkiv, Ukraine",50 - 249 employees,Undisclosed
NorthBay Solutions,big-data,"NorthBay Solutions is a Cambridge, Mass.-based mobile and web development company. Founded in 2007, they have additional offices in Wilmington, Mass. and Pakistan. With more than 150 employees, NorthBay has the resources to support a large number of clients with distinct individual development needs. In addition to web, mobile app, and software development, NorthBay offers data analytics services, IT consulting, and UX/UI design.",5.0,(1 Reviews),BesstBuy; Best Doctors; Carnival Cruise Lines; Cisco,"A publishing company contracted NorthBay Solutions to add mobile functionality to the process of digitizing print work. The publishing company had a web service, but it did not function well on mobile platforms. NorthBay Solutions built iOS and Android applications that worked on both phones and tablets. They delivered the applications quickly, without incident.","['Business services', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Information technology', 'Manufacturing', 'Media', 'Retail']","Andover, MA",250 - 999 employees,Undisclosed
Spalmalo,big-data,,,,,,,"Bishkek, Kyrgyzstan",10 - 49 employees,"$10,000+"
"Shenzhen Hexun Huagu Information Technology Co., Ltd.",big-data,,,,,,,"Shen Zhen Shi, China",2 - 9 employees,Undisclosed
"Devfi, Inc",big-data,"Launched in 2012, Devfi, Inc is a business intelligence company. Their midsize team is located in Columbus, Ohio and Fairfax, Virginia. Their team provides BI & big data consulting & SI, IT staff augmentation, Artificial Intelligence, custom software development, and more.",,,,,,"Columbus, OH",250 - 999 employees,"$10,000+"
ATCS,big-data,"IT strategy consulting company ATCS is based in Montvale, New Jersey; Jaipur, India and , China. They focus on IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, social media marketing, and more and were launched in 2000.",,,,,,"Montvale, NJ",250 - 999 employees,"$5,000+"
Saicon Consultants Inc,big-data,,,,,,,"Overland Park, KS",250 - 999 employees,Undisclosed
Carvajal TyS MX,big-data,"Carvajal TyS MX is a Ciudad de México, Mexico-based non-voice bpo/back office services company. The midsize team focuses on non-voice bpo/back office services, HR services, BI & big data consulting & SI, and IT managed services. The agency was launched in 1904.",,,,,,"Ciudad de México, Mexico",250 - 999 employees,Undisclosed
Decimal Point Analytics,big-data,"In Mumbai, India and Barking, United Kingdom, Decimal Point Analytics is a midsize data analytics company. Their services include BI & big data consulting & SI, CRM consulting and SI, custom software development, Artificial Intelligence, and more.",,,,,"['Financial services', 'Manufacturing']","Mumbai, India",250 - 999 employees,"$1,000+"
Praxis,big-data,"In Ciudad de México, Mexico, Praxis is an IT strategy consulting company. The midsize firm was established in 1996. Their team offers IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, cybersecurity, and more.",,,,,,"Ciudad de México, Mexico",250 - 999 employees,Undisclosed
Celstream Technologies,big-data,,,,,,,"Bengaluru, India",250 - 999 employees,Undisclosed
Artha Solutions,big-data,,,,,,"['Business services', 'Information technology']","Scottsdale, AZ",250 - 999 employees,"$1,000+"
IMPACT Commerce,big-data,"IMPACT Commerce is a digital strategy company. They are in Stockholm, Sweden; København, Denmark; Lisboa, Portugal and Beograd, Serbia and have a midsize team. Their team provides digital strategy, ux/ui design, BI & big data consulting & SI, mobile app development, and more.",,,,,,"Stockholm, Sweden",250 - 999 employees,Undisclosed
Leader Investment Group - LIG,big-data,,,,,,,"Cairo, Egypt",250 - 999 employees,Undisclosed
VizuaMatix,big-data,,,,,,"['Financial services', 'Government', 'Information technology', 'Telecommunications']","Sri Jayawardenepura Kotte, Sri Lanka",50 - 249 employees,"$5,000+"
SMART CONSULTING SOLUTIONS,big-data,,,,,,,"Singapore, Singapore",10 - 49 employees,"$5,000+"
Synergy Systech LLC,big-data,,,,,,,"Parsippany-Troy Hills, NJ",10 - 49 employees,Undisclosed
Enso Corporation (Pvt) Ltd,big-data,,,,,,"['Consumer products & services', 'Hospitality & leisure', 'Manufacturing', 'Retail']","Wattala, Sri Lanka",10 - 49 employees,"$5,000+"
Netcom Analytics,big-data,,,,,,"['Business services', 'Information technology']","Nea Ionia, Greece",10 - 49 employees,"$5,000+"
"Wuhan Tianchu Cloud Computing Co., Ltd.",big-data,,,,,,"['Education', 'Financial services', 'Government', 'Medical']","Wu Han Shi, China",10 - 49 employees,Undisclosed
Consultoria Pamay,big-data,"Consultoria Pamay, a business intelligence company, was established in 2015. Their small team is located in Monterrey, Mexico. The agency provides BI & big data consulting & SI, application management & support, IT managed services, and IT staff augmentation.",,,,,"['Consumer products & services', 'Information technology', 'Manufacturing']","Monterrey, Mexico",10 - 49 employees,"$1,000+"
"Hunan Shangyi Network Technology Co., Ltd.",big-data,,,,,,"['Business services', 'Medical']","Changsha, China",10 - 49 employees,Undisclosed
WAREHOWS ANALYTICS LLP,big-data,,,,,,,"Mumbai, India",10 - 49 employees,"$1,000+"
"Cantone Technology Co., Ltd.",big-data,,,,,,"['Education', 'Government']","Guangzhou, China",10 - 49 employees,Undisclosed
Bluechip AI Asia,big-data,,,,,,,"Colombo, Sri Lanka",10 - 49 employees,"$5,000+"
Reweto,big-data,"Reweto is a. Established in 2019, the team specializes in. Their small company is.",,,,,,,10 - 49 employees,"$5,000+"
Virtuosoft,big-data,,,,,,,"Karachi, Pakistan",10 - 49 employees,"$1,000+"
Food Data Scrape,big-data,,,,,,,"Houston, TX",10 - 49 employees,"$1,000+"
Fortisoft,big-data,,,,,,,"Wilmington, DE",10 - 49 employees,"$1,000+"
ProSync Technology Group,big-data,"ProSync Technology Group was founded in 2000 as a contractor to provide technology solutions to the federal government. It is based in Baltimore and has a team of more than 60 that specialize in custom software development, cybersecurity, big data consulting, and sales intelligence for both government agencies and various other clients. ",,,General Dynamics; Raytheon; Lockheed Martin; Honeywell,,['Government'],"Ellicott City, MD",50 - 249 employees,"$25,000+"
Frontera Consulting,big-data,"Business intelligence company Frontera Consulting was founded in 2008. Their midsize team is headquartered in New York, New York; London , United Kingdom and Hong Kong, Hong Kong. Their services include BI & big data consulting & SI, ERP consulting and SI, IT managed services, and cloud consulting & SI.",,,,,,"New York, NY",50 - 249 employees,"$1,000+"
Amigo Corporation,big-data,,,,,,,"Hanoi, Vietnam",50 - 249 employees,"$10,000+"
COREBI SA,big-data,,,,,,,"Buenos Aires, Argentina",50 - 249 employees,"$10,000+"
Praxis Computing,big-data,,,,,,,"Johannesburg, South Africa",50 - 249 employees,Undisclosed
Tangerine Software Inc,big-data,,,,,,,"Montréal, Canada",50 - 249 employees,Undisclosed
